Gene,RANGE,N_INFORMATIVE,NumVar,NumPolyVar,NonRefSite,P_value,Test_Type,neg_log10_p,significance_level,Q,rho,OptFreq,Zmax,Stat
PPP1R2,"3:196722512-196751437,3:196722512-196751437,3:196722512-196751437,3:196722512-196751437,3:196722512-196751437",282,1,1,3.0,0.417316,CMC,0.37953496400983183,Not_Significant,,,,,
SDC4,20:43387342-43410478,282,1,1,4.0,0.172927,CMC,0.7621371927553047,Not_Significant,,,,,
CELF2,"10:10544518-11418678,10:10878807-11418678,10:10880693-11418678,10:11087280-11418678,10:11087627-11418678,10:11087280-11418678,10:11087280-11418678,10:10880693-11418678,10:11246998-11418678,10:10544518-11418678,10:11246849-11413424,10:11246849-11413424,10:10878807-11418678,10:11246998-11418678,10:11087280-11418678,10:11087280-11418678,10:11099840-11418678,10:11100466-11413424,10:11100724-11413424,10:11087627-11418678,10:11087280-11418678,10:11099898-11418678,10:11099840-11418678,10:11099840-11418678,10:11099840-11418678,10:10880693-11418678,10:11086616-11418678,10:11087280-11418678,10:11087280-11418678,10:10544518-11418678,10:10544518-11418678,10:10544518-11418678,10:10544518-11418678,10:11246849-11413424,10:11246849-11413424,10:11086616-11418678",282,10,10,18.0,0.380761,CMC,0.4193475412544432,Not_Significant,,,,,
NRCAM,"7:107575329-107884116,7:107575306-107884077,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575306-107884077,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107671065,7:107575329-107884116,7:107575329-107884116,7:107575306-107884077,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575306-107884077,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107671065,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884400,7:107575329-107884400,7:107575329-107756206,7:107575329-107756206,7:107575329-107756206,7:107575329-107884400,7:107575329-107884400,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107756206,7:107575329-107756206,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116,7:107575329-107884116",282,1,1,4.0,0.496242,CMC,0.3043064815061291,Not_Significant,,,,,
SHC4,15:46903229-47043408,282,1,1,3.0,0.367515,CMC,0.43472493063615397,Not_Significant,,,,,
F11-AS1,"4:187444245-187659206,4:187574195-187659206",282,1,1,3.0,0.267914,CMC,0.5720045914911427,Not_Significant,,,,,
EFCAB5,"17:25292777-25425773,17:25281046-25425773,17:25292777-25459596",282,1,1,4.0,0.236999,CMC,0.6252534864599305,Not_Significant,,,,,
ATP6V1H,"8:54790655-54918358,8:54790655-54918155,8:54790655-54918424",282,1,1,4.0,0.857803,CMC,0.06661243923337903,Not_Significant,,,,,
TBX5,"12:113276098-113328332,12:113276117-113330200,12:113276117-113330630",282,1,1,4.0,0.854821,CMC,0.06812481726125158,Not_Significant,,,,,
PAK5,"20:9466017-9767724,20:9466031-9767724",282,1,1,3.0,0.149103,CMC,0.8265136183153595,Not_Significant,,,,,
