Gene,RANGE,N_INFORMATIVE,NumVar,NumPolyVar,NonRefSite,P_value,Test_Type,neg_log10_p,significance_level,Q,rho,OptFreq,Zmax,Stat
CDCA7L,"7:21907041-21952042,7:21907041-21952042,7:21907041-21952042",282,1,1,4.0,0.000876612,CMC,3.057192588555306,Highly_Significant,,,,,
MGAT5,"2:134593975-134928662,2:134728112-134928662",282,2,2,,0.0015,Variable_Threshold,2.8239087409443187,Significant,,,0.008866,24.3511,24.3511
LINC01619,"12:90902882-91060738,12:90902882-91060738,12:90902882-91059620,12:90902882-91060738,12:90902882-91060738",282,1,1,,0.00155254,SKAT-O,2.80895720174366,Significant,774.517,0.0,,,
NR4A3,"9:101623957-101668994,9:101623987-101636162,9:101623987-101668994",282,1,1,5.0,0.00196413,CMC,2.7068297709206566,Significant,,,,,
DNAH8,"6:38791064-39106546,6:38791064-39106546",282,4,4,13.0,0.00208865,CMC,2.6801343296720184,Significant,,,,,
DLGAP1,"18:3492142-3835358,18:3486029-3835358,18:3486029-3835358,18:3486029-3864302,18:3486029-3864760,18:3486029-4445307,18:3486029-3864302,18:3486029-3864767,18:3492142-4445266",282,7,7,,0.00224956,SKAT-O,2.647902418892543,Significant,4947.92,0.4,,,
BORCS8-MEF2B,"19:19117375-19163961,19:19117375-19163961,19:19117375-19163961",282,2,2,,0.00247023,SKAT-O,2.6072626082462116,Significant,2471.07,1.0,,,
ZHX3,"20:39240508-39379785,20:39240508-39334310,20:39240508-39379785,20:39240508-39362174,20:39240508-39379785,20:39240508-39379785,20:39240508-39362174,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785,20:39240508-39379785",282,1,1,4.0,0.00270625,CMC,2.5676320863025595,Significant,,,,,
BSPRY,"9:115151641-115173323,9:115151641-115173323,9:115151641-115173323",282,1,1,4.0,0.00275546,CMC,2.5598058890861117,Significant,,,,,
MYBPC1,"12:100512839-100603789,12:100512839-100603789,12:100512839-100603789,12:100512839-100603789,12:100512839-100603789,12:100512839-100603789,12:100512839-100603789,12:100512879-100603937,12:100512839-100603789,12:100512839-100603789",282,1,1,4.0,0.0027775,CMC,2.556345932387095,Significant,,,,,
NT5DC1,6:116528708-116677353,282,3,3,9.0,0.00291683,CMC,2.5350888818873107,Significant,,,,,
RAB11FIP4,"17:26839250-26889350,17:26742818-26889350,17:26839250-26889350,17:26839250-26889350,17:26839250-26889350",282,1,1,4.0,0.00397365,CMC,2.4008103882988516,Significant,,,,,
BACH2,"6:90692967-91063348,6:90692967-91063283",282,2,2,,0.00495,Variable_Threshold,2.305394801066431,Significant,,,0.008866,20.4732,20.4732
ITPR2,12:26379551-26877394,282,2,2,,0.00512659,SKAT-O,2.2901714139537126,Significant,460.32,0.0,,,
CRIM1,2:36436424-36631782,282,1,1,4.0,0.00532394,CMC,2.273766847603025,Significant,,,,,
FARP2,"2:241944372-242054116,2:241944372-242054116,2:241944372-242082929",282,2,2,,0.0055,Variable_Threshold,2.2596373105057563,Significant,,,0.008866,21.7007,21.7007
RUNDC3B,"7:87095649-87299547,7:87095649-87299547,7:87095649-87299547",282,3,3,,0.00550994,SKAT-O,2.2588531303334762,Significant,5077.55,1.0,,,
ZFAND3,6:37895480-38230377,282,2,2,,0.00556046,SKAT-O,2.2548892790657775,Significant,1989.56,1.0,,,
DLGAP1-AS5,18:4254601-4286000,282,1,1,4.0,0.00567801,CMC,2.2458038469385526,Significant,,,,,
KCNQ1,"11:2422813-2826911,11:2439259-2826916",282,2,2,,0.0062,Variable_Threshold,2.207608310501746,Significant,,,0.008866,22.4539,22.4539
EML1,"14:99329502-99478148,14:99329502-99478148,14:99329502-99478148,14:99273811-99478148",282,3,3,,0.00657108,SKAT-O,2.182363245433582,Significant,1726.14,0.0,,,
DCAF1,"3:51410312-51509071,3:51408337-51509071,3:51410312-51509071,3:51408337-51509058,3:51410312-51509071,3:51408337-51509071,3:51410312-51509071",282,2,2,7.0,0.00702143,CMC,2.1535744294850776,Significant,,,,,
GRM8,"7:125865887-126680231,7:125865887-126680231,7:125865887-126680231,7:125865887-126670805,7:125865887-126679664,7:125865887-126680231,7:125865887-126680231,7:125865887-126679545,7:125865887-126679545,7:125865887-126680231,7:126127356-126679545",282,4,4,13.0,0.00740559,CMC,2.13044033571981,Significant,,,,,
ALG9,"11:111158128-111247515,11:111158128-111247234,11:111158128-111247234,11:111158128-111247214,11:111158128-111247515,11:111158128-111247515,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247234,11:111158128-111247214,11:111158128-111247214,11:111158128-111247234,11:111158128-111247234,11:111158128-111247515,11:111158128-111247515,11:111158128-111247515,11:111158128-111247515",282,2,2,4.0,0.00748296,CMC,2.1259265762824717,Significant,,,,,
NLRC5,"16:55580969-55653416,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55654186,16:55580969-55674933,16:55580969-55674933,16:55580969-55653416,16:55580969-55674933,16:55580969-55653416,16:55580969-55674933,16:55580969-55653416,16:55580969-55674933,16:55580969-55654186,16:55580969-55674933,16:55580969-55654186,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55653416,16:55580969-55653416,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55674933,16:55580969-55653416,16:55580969-55653416,16:55580969-55674933,16:55580969-55653416,16:55580969-55653416,16:55580969-55639632",282,3,3,8.0,0.00757195,CMC,2.1207922624837017,Significant,,,,,
MEI1,22:40425452-40525404,282,1,1,,0.00805,Variable_Threshold,2.0942041196321317,Significant,,,0.008866,20.8246,20.8246
NOVA1,"14:25982135-26137079,14:26009163-26136800,14:25982135-26137079,14:25982138-26092476,14:25982138-26135143,14:25982138-26135143,14:25982138-26136128,14:25982138-26136128,14:25982138-26136128,14:25982135-26137079,14:25982135-26137079,14:25982135-26137079",282,3,3,10.0,0.00824502,CMC,2.0838082865471637,Significant,,,,,
NRL,"14:23617748-23653998,14:23617710-23653998,14:23617748-23653998,14:23617735-23634179",282,1,1,,0.0083,Variable_Threshold,2.0809219076239263,Significant,,,0.008866,20.8246,20.8246
ALDH3A1,"17:19581889-19589517,17:19581893-19592203,17:19581889-19589364,17:19581893-19592203",282,1,1,3.0,0.008596,CMC,2.0657035931805945,Significant,,,,,
TCEA1,"8:55041668-55097561,8:55041668-55097561,8:55041668-55097561,8:55041668-55097561",282,1,1,,0.00875,Variable_Threshold,2.057991946977687,Significant,,,0.008866,20.8246,20.8246
SYT17,"16:19091157-19187155,16:19087062-19187155,16:19086656-19187157",282,1,1,,0.0088,Variable_Threshold,2.0555173278498313,Significant,,,0.008866,20.8246,20.8246
SLC1A3,"5:36642464-36724193,5:36642213-36645156,5:36642464-36724193,5:36642213-36724193,5:36642213-36724193",282,1,1,,0.00885,Variable_Threshold,2.0530567293021744,Significant,,,0.008866,20.8246,20.8246
KATNBL1,15:32220166-32289589,282,1,1,5.0,0.00888576,CMC,2.0513054210167385,Significant,,,,,
IGDCC3,15:63406517-63457393,282,1,1,4.0,0.00989454,CMC,2.004604391463185,Significant,,,,,
TJP1,"15:27779648-27901963,15:27778862-27901963,15:27778862-27901963,15:27778862-27900974,15:27778862-28048544,15:27778862-27901963,15:27778862-27901963,15:27778862-27900169,15:27778862-28048544",282,2,2,,0.01095,Variable_Threshold,1.960585880823863,Suggestive,,,0.007093,19.3533,19.3533
